@relation music_genre
@attribute enerji numeric
@attribute spektral_merkez_frekansi numeric
@data
145985106,330896.44243946247
77253361,330896.85618054937
156683216,330896.8401847182
97662427,330896.9142686105
182565,330896.6399600681
13526830,330896.93058852747
65176681,330896.9798911645
66145155,330896.6686665057
-57089667,330896.9872408436
92115070,330896.33653816866
88099447,330896.85753175383
112937864,330896.5484791662
265509505,330896.43353216123
91862456,330896.3717261232
604813970,330896.54448255093
246025164,330896.61821151816
23332016,330892.33543047763
65534490,330891.9622363536
94788031,330891.16222358606
125255230,330890.0025902337
92431274,330891.59937136807
57789815,330892.04305664566
49736834,330892.40930045315
86516290,330890.80229925003
66670960,330891.86853808514
89545951,330891.9104179314
36538723,330891.37338517705
174001957,330731.8143694192
93766705,330861.0239647776
26760479,330881.37011742685
143453879,330894.0940883383
188069830,330878.0486958632
-8210466,335162.7549945249
78721675,330888.4658132848
13341332,334722.6196908051
94057299,330885.56303787045
20440936,333954.99175333057
109906045,330863.3020072406
28161731,330699.1578156607
107379028,330896.97418576427
112823110,330896.99554073263
69461662,330896.9188934874
146801491,330896.8806277469
152123736,330896.9833101111
58693135,330896.9451357047
153070506,330896.8746789878
126700376,330896.93790206336
89198777,330896.87785882264
42378660,330896.9296314599
191961468,330878.1984507794
133709397,330874.1265946653
48416227,330883.85061164614
349806214,330875.54645157687
16632814,330887.9531493025
273193238,330866.4739407883
52285619,330878.67390676914
59468540,330887.2446796267
77369976,330878.9114244568
126960806,330863.38485920243
338559462,330842.6991615644
138332663,330873.7103522581
157702925,330854.5425209367
345162696,330861.76470484125
319340782,330840.39067215234
152813969,330877.66935919446
123923166,330874.56562514807
848597515,330859.7750587767
159704274,330870.50836077466
167647709,330864.7114919331
407938672,330848.8692896298
411720449,330858.44347110507
21215393,330891.74775128864
45050502,330890.3388636754
57528721,330889.48473721824
49741857,330889.62475549744
143372066,330889.61212824954
77264763,330889.0873034023
149423985,330889.0696881903
78328315,330889.46026004304
112838446,330896.8687648349
133555124,330896.897698549
276350766,330896.9656609611
205127920,330896.84079305234
135801161,330896.76213330775
129385295,330896.8177173875
371874960,330896.72502864443
498310112,330882.4928700871
49683122,330887.45602050883
283919510,330874.35663390823
189601335,330896.7096635686
44168060,330826.97524830065
110411955,330896.93859047996
125774811,330896.8949596598
129126593,330896.86464929546
117012606,330896.84955701925
164499189,330896.7812025868
205280394,330896.910991923
170125726,330896.8927915037
262194827,330896.7874750894
265149546,330896.68667838146
